CustomerID,Frequency,Monetary,Recency,Cluster,Segment
12346,1,77183.6,326,3,Loyal
12347,7,4310.0,2,0,At-Risk
12348,4,1797.24,75,0,At-Risk
12349,1,1757.55,19,0,At-Risk
12350,1,334.4,310,1,Lost
12352,8,2506.04,36,0,At-Risk
12353,1,89.0,204,1,Lost
12354,1,1079.4,232,1,Lost
12355,1,459.4,214,1,Lost
12356,3,2811.43,23,0,At-Risk
12357,1,6207.67,33,0,At-Risk
12358,2,1168.06,2,0,At-Risk
12359,4,6372.58,58,0,At-Risk
12360,3,2662.06,52,0,At-Risk
12361,1,189.9,287,1,Lost
12362,10,5226.23,3,0,At-Risk
12363,2,552.0,110,0,At-Risk
12364,4,1313.1,8,0,At-Risk
12365,2,641.38,291,1,Lost
12367,1,168.9,4,0,At-Risk
12370,4,3545.69,51,0,At-Risk
12371,2,1887.96,45,0,At-Risk
12372,3,1298.04,72,0,At-Risk
12373,1,364.6,311,1,Lost
12374,1,742.9300000000001,25,0,At-Risk
12375,2,457.5,11,0,At-Risk
12377,2,1628.12,315,1,Lost
12378,1,4008.62,130,0,At-Risk
12379,2,852.24,82,0,At-Risk
12380,4,2724.81,22,0,At-Risk
12381,5,1845.31,5,0,At-Risk
12383,5,1850.56,185,1,Lost
12384,2,585.27,29,0,At-Risk
12386,2,401.9,338,1,Lost
12388,6,2780.66,16,0,At-Risk
12390,1,549.84,80,0,At-Risk
12391,1,460.89,22,0,At-Risk
12393,4,1582.6000000000001,72,0,At-Risk
12394,2,1272.48,64,0,At-Risk
12395,12,3018.63,19,0,At-Risk
12397,2,2409.9,36,0,At-Risk
12398,1,1635.6599999999999,46,0,At-Risk
12399,4,1108.65,119,0,At-Risk
12401,1,84.3,303,1,Lost
12402,1,225.6,323,1,Lost
12403,1,427.7,50,0,At-Risk
12405,1,1710.39,149,1,Lost
12406,2,3415.3,22,0,At-Risk
12407,5,1708.1200000000001,50,0,At-Risk
12408,5,2888.55,33,0,At-Risk
12409,3,11072.67,79,0,At-Risk
12410,2,693.3299999999999,309,1,Lost
12412,3,1226.88,75,0,At-Risk
12413,3,758.1,67,0,At-Risk
12414,3,562.41,217,1,Lost
12415,21,124914.53,24,2,Champions
12417,9,3649.1,3,0,At-Risk
12418,1,668.58,113,0,At-Risk
12420,1,600.39,64,0,At-Risk
12421,4,807.04,16,0,At-Risk
12422,3,803.5600000000001,96,0,At-Risk
12423,8,1859.31,1,0,At-Risk
12424,2,1760.96,163,1,Lost
12425,1,777.2,78,0,At-Risk
12426,1,582.73,195,1,Lost
12427,3,825.8,22,0,At-Risk
12428,9,7956.46,26,0,At-Risk
12429,4,3750.4,9,0,At-Risk
12430,1,256.4,43,0,At-Risk
12431,15,6487.45,36,3,Loyal
12432,5,5059.32,43,0,At-Risk
12433,7,13375.87,1,0,At-Risk
12434,2,806.14,85,0,At-Risk
12435,2,7829.89,80,0,At-Risk
12436,1,509.01,100,0,At-Risk
12437,18,4951.41,2,3,Loyal
12438,2,2906.85,14,0,At-Risk
12441,1,173.55,367,1,Lost
12442,1,172.06,3,0,At-Risk
12444,5,5005.46,21,0,At-Risk
12445,1,133.4,22,0,At-Risk
12446,1,1002.3100000000001,58,0,At-Risk
12447,1,476.49,243,1,Lost
12448,1,449.45,44,0,At-Risk
12449,4,4067.29,22,0,At-Risk
12450,2,197.88,156,1,Lost
12451,5,9035.52,11,0,At-Risk
12452,2,430.57,17,0,At-Risk
12453,1,707.09,134,0,At-Risk
12454,1,3528.34,56,0,At-Risk
12455,6,2466.86,73,0,At-Risk
12456,3,3181.04,44,0,At-Risk
12457,7,2363.23,66,0,At-Risk
12458,2,947.4,71,0,At-Risk
12461,2,826.88,94,0,At-Risk
12462,2,1189.59,19,0,At-Risk
12463,4,1344.78,53,0,At-Risk
12464,8,1212.05,10,0,At-Risk
12465,2,742.1899999999999,17,0,At-Risk
12468,2,729.5400000000001,188,1,Lost
12471,30,19824.05,2,3,Loyal
12472,7,6572.11,32,0,At-Risk
12473,5,3938.5499999999997,29,0,At-Risk
12474,18,7375.79,17,3,Loyal
12475,1,723.38,54,0,At-Risk
12476,11,6816.42,16,0,At-Risk
12477,6,13219.74,23,0,At-Risk
12478,1,680.99,4,0,At-Risk
12479,1,527.2,11,0,At-Risk
12480,4,3281.63,28,0,At-Risk
12481,10,5596.32,23,0,At-Risk
12483,8,2484.98,17,0,At-Risk
12484,6,4541.72,33,0,At-Risk
12488,3,1298.66,10,0,At-Risk
12489,1,334.93,336,1,Lost
12490,10,5417.93,5,0,At-Risk
12491,1,460.40000000000003,39,0,At-Risk
12492,2,263.21000000000004,63,0,At-Risk
12493,2,433.74,166,1,Lost
12494,7,1246.1000000000001,16,0,At-Risk
12497,1,1043.1,82,0,At-Risk
12498,3,403.70000000000005,21,0,At-Risk
12500,11,4257.82,23,0,At-Risk
12501,1,2169.39,337,1,Lost
12502,5,3723.87,96,0,At-Risk
12504,2,482.04999999999995,18,0,At-Risk
12506,1,73.5,233,1,Lost
12507,3,1304.81,134,0,At-Risk
12508,2,398.27,26,0,At-Risk
12509,1,176.5,284,1,Lost
12510,2,982.5699999999999,143,0,At-Risk
12512,2,138.03,66,0,At-Risk
12513,1,612.29,113,0,At-Risk
12514,1,1017.68,267,1,Lost
12515,1,383.7,353,1,Lost
12516,2,1312.06,78,0,At-Risk
12517,5,2502.84,28,0,At-Risk
12518,5,2056.89,1,0,At-Risk
12519,1,340.84,64,0,At-Risk
12520,5,2634.26,79,0,At-Risk
12521,1,599.68,143,1,Lost
12522,2,192.72,39,0,At-Risk
12523,11,1789.77,19,0,At-Risk
12524,8,4485.72,9,0,At-Risk
12526,3,1316.66,1,0,At-Risk
12527,3,348.71000000000004,82,0,At-Risk
12528,6,1933.48,9,0,At-Risk
12530,4,1662.28,60,0,At-Risk
12531,1,125.22,15,0,At-Risk
12532,1,349.83000000000004,30,0,At-Risk
12534,1,1089.18,131,0,At-Risk
12535,2,716.35,92,0,At-Risk
12536,3,12601.830000000002,43,0,At-Risk
12538,1,363.95,29,0,At-Risk
12539,4,5568.35,22,0,At-Risk
12540,17,13400.24,20,3,Loyal
12541,3,981.18,30,0,At-Risk
12544,1,372.7,36,0,At-Risk
12545,2,1000.39,75,0,At-Risk
12546,2,1161.5,47,0,At-Risk
