Description,avg_price,total_quantity,num_transactions,num_customers,total_revenue,Cluster,Segment
10 COLOUR SPACEBOY PEN,0.8724691358024691,6267,242,179,5209.17,1,Trending
12 COLOURED PARTY BALLOONS,0.6624137931034483,2110,139,105,1373.3,0,Budget
12 DAISY PEGS IN WOOD BOX,1.65,327,62,46,539.55,0,Budget
12 EGG HOUSE PAINTED WOOD,12.91265625,111,64,39,1425.27,0,Budget
12 IVORY ROSE PEG PLACE SETTINGS,1.25,749,91,56,936.25,0,Budget
12 MESSAGE CARDS WITH ENVELOPES,1.642,1628,187,150,2590.2,1,Trending
12 PENCIL SMALL TUBE WOODLAND,0.6654639175257732,4007,276,191,2551.15,1,Trending
12 PENCILS SMALL TUBE RED RETROSPOT,0.6490476190476191,6400,307,231,4101.200000000001,1,Trending
12 PENCILS SMALL TUBE SKULL,0.6483498349834984,6734,291,195,4235.1,1,Trending
12 PENCILS TALL TUBE POSY,0.36318181818181816,3809,167,135,1169.0099999999998,1,Trending
12 PENCILS TALL TUBE RED RETROSPOT,0.84948,2652,234,185,2247.96,1,Trending
12 PENCILS TALL TUBE SKULLS,0.8494144144144143,2019,215,158,1709.9099999999999,1,Trending
12 PENCILS TALL TUBE WOODLAND,0.85,1851,208,157,1573.35,1,Trending
12 PINK HEN+CHICKS IN BASKET,2.55,41,14,13,104.55,0,Budget
12 PINK ROSE PEG PLACE SETTINGS,1.25,214,21,17,267.5,0,Budget
12 RED ROSE PEG PLACE SETTINGS,1.25,400,75,47,500.0,0,Budget
15CM CHRISTMAS GLASS BALL 20 LIGHTS,7.769444444444445,1266,214,170,9374.7,1,Trending
16 PIECE CUTLERY SET PANTRY DESIGN,15.65,210,46,43,3018.2999999999997,0,Budget
18PC WOODEN CUTLERY SET DISPOSABLE,1.24125,503,24,23,595.15,0,Budget
2 PICTURE BOOK EGGS EASTER BUNNY,1.25,158,19,18,197.5,0,Budget
2 PICTURE BOOK EGGS EASTER CHICKS,1.25,161,19,17,201.25,0,Budget
2 PICTURE BOOK EGGS EASTER DUCKS,1.25,115,16,15,143.75,0,Budget
20 DOLLY PEGS RETROSPOT,1.354375,2368,182,135,3048.2,1,Trending
200 BENDY SKULL STRAWS,1.2364285714285714,638,41,28,706.3000000000001,0,Budget
200 RED + WHITE BENDY STRAWS,1.2468852459016393,761,119,90,914.77,0,Budget
3 DRAWER ANTIQUE WHITE WOOD CABINET,8.9148167539267,715,186,129,6195.73,1,Trending
3 GARDENIA MORRIS BOXED CANDLES,2.2505263157894735,492,67,58,844.04,0,Budget
3 HEARTS HANGING DECORATION RUSTIC,2.975777777777778,2895,261,196,8161.21,1,Trending
3 HOOK HANGER MAGIC GARDEN,1.925257731958763,1617,94,66,2915.5499999999997,0,Budget
3 HOOK PHOTO SHELF ANTIQUE WHITE,8.363668831168832,1723,304,172,12294.380000000001,1,Trending
3 PIECE SPACEBOY COOKIE CUTTER SET,2.133708609271523,2514,296,216,5034.64,1,Trending
3 RAFFIA RIBBONS 50'S CHRISTMAS,0.9038235294117647,1792,134,129,1632.4,0,Budget
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,0.9046666666666667,679,44,40,608.65,0,Budget
3 ROSE MORRIS BOXED CANDLES,1.7832394366197184,1072,131,109,1560.64,0,Budget
3 STRIPEY MICE FELTCRAFT,1.9640435835351089,2923,402,288,5478.05,1,Trending
3 TIER CAKE TIN GREEN AND CREAM,14.940071942446044,364,136,107,4954.5599999999995,1,Trending
3 TIER CAKE TIN RED AND CREAM,14.75470588235294,652,136,115,8737.78,1,Trending
3 TIER SWEETHEART GARDEN SHELF,35.67093023255814,55,43,42,1938.2500000000002,0,Budget
3 TRADITIONAL BISCUIT CUTTERS  SET,2.127268292682927,1156,202,168,2422.2200000000003,1,Trending
3 WHITE CHOC MORRIS BOXED CANDLES,2.071276595744681,884,90,80,1362.44,0,Budget
36 DOILIES DOLLY GIRL,1.45,905,74,71,1312.25,0,Budget
36 DOILIES VINTAGE CHRISTMAS,1.436335403726708,5153,160,151,7006.25,1,Trending
36 FOIL HEART CAKE CASES,2.04376404494382,2003,170,144,3823.5600000000004,1,Trending
36 FOIL STAR CAKE CASES,2.0134234234234234,1005,106,91,1929.14,0,Budget
36 PENCILS TUBE POSY,1.25,27,11,10,33.75,0,Budget
36 PENCILS TUBE RED RETROSPOT,1.2443162393162395,3523,230,164,4233.51,1,Trending
36 PENCILS TUBE SKULLS,1.248972972972973,1631,179,133,2014.43,1,Trending
36 PENCILS TUBE WOODLAND,1.2486896551724138,1597,142,111,1971.93,0,Budget
3D CHRISTMAS STAMPS STICKERS,1.350943396226415,1075,105,85,1361.95,0,Budget
3D DOG PICTURE PLAYING CARDS,2.95,293,60,49,864.35,0,Budget
3D HEARTS  HONEYCOMB PAPER GARLAND,2.926470588235294,294,33,27,838.5000000000001,0,Budget
3D SHEET OF CAT STICKERS,0.85,216,43,36,183.6,0,Budget
3D SHEET OF DOG STICKERS,0.8685714285714285,272,42,34,231.98,0,Budget
3D TRADITIONAL CHRISTMAS STICKERS,1.3340277777777778,1471,141,119,1882.31,0,Budget
3D VINTAGE CHRISTMAS STICKERS,1.3437795275590552,1522,126,102,1930.38,0,Budget
4 BLUE DINNER CANDLES SILVER FLOCK,2.55,86,29,20,219.29999999999998,0,Budget
4 BURGUNDY WINE DINNER CANDLES,1.25,55,11,9,68.75,0,Budget
4 IVORY DINNER CANDLES SILVER FLOCK,2.316078431372549,453,96,62,921.39,0,Budget
4 LAVENDER BOTANICAL DINNER CANDLES,1.6826923076923077,840,100,86,1195.0,0,Budget
4 LILY  BOTANICAL DINNER CANDLES,2.2625,473,76,62,851.75,0,Budget
4 PEAR BOTANICAL DINNER CANDLES,1.6898148148148149,755,104,84,1093.75,0,Budget
4 PINK DINNER CANDLE SILVER FLOCK,2.275,126,30,26,235.06,0,Budget
4 PINK FLOCK CHRISTMAS BALLS,1.25,37,11,8,46.25,0,Budget
4 PURPLE FLOCK DINNER CANDLES,2.324358974358974,140,36,31,270.76,0,Budget
4 ROSE PINK DINNER CANDLES,1.2364285714285714,138,14,13,163.38,0,Budget
4 SKY BLUE DINNER CANDLES,1.25,58,12,10,72.5,0,Budget
4 TRADITIONAL SPINNING TOPS,1.430186170212766,4491,364,260,5960.08,1,Trending
4 VANILLA BOTANICAL CANDLES,1.61,900,121,99,1252.5,0,Budget
